label,total_return,annualized_return,annualized_vol,sharpe,sortino,max_drawdown,calmar,hit_rate,avg_duration_hours,turnover,fold,alpha_vs_btc,alpha_vs_sp500
strategy_fold_1,-0.14629596429137381,-0.14631138040648617,0.372486754586491,-0.3927961963880056,-0.1904971768169941,-0.4155878283541,-0.3520588680037619,0.3938223938223938,31.463320463320464,0.029569585569128896,1.0,-1.6963676681199664,-0.3985965366732067
btc_fold_1,1.5497837969028554,1.5500562877134803,0.4251190790584711,3.6461696594433124,4.5180460022294655,-0.21740843715487812,7.129697025554009,0.0,0.0,0.0,1.0,,
sp500_fold_1,0.2522529961088156,0.25228515626672054,0.13108992016652976,1.9245198711405935,0.5354050210506798,-0.09974310929205063,2.5293492257998746,0.0,0.0,0.0,1.0,,
strategy_fold_2,-0.5399632161128893,-0.5389862374942975,0.47667130204757496,-1.1307293625167791,-1.1343725335934616,-0.6555832851538584,-0.8221476198372006,0.38243626062322944,22.6685552407932,0.04018670309653916,2.0,-1.7417436758328697,-0.7968297235763366
btc_fold_2,1.2075284593333864,1.2027574383385722,0.5259620549420585,2.2867760649978286,2.9485674135908235,-0.32310690722076846,3.722475166761963,0.0,0.0,0.0,2.0,,
sp500_fold_2,0.25863427621626256,0.2578434860820391,0.12613829876618565,2.04413321413179,0.44658106751114496,-0.08405595010466205,3.067522117839201,0.0,0.0,0.0,2.0,,
strategy_fold_3,-0.5189509797533931,-0.5263209735438029,0.41018921302435807,-1.2831175390088785,-0.9333212799346962,-0.5670925026043204,-0.9281042706907991,0.37722419928825623,28.17081850533808,0.032754400279752884,3.0,-0.45929521218712077,-0.7097140729261305
btc_fold_3,-0.06568739419996839,-0.06702576135668215,0.44848166884051194,-0.14945039232031065,-0.18401703910989387,-0.3476147116470142,-0.19281623910308934,0.0,0.0,0.0,3.0,,
sp500_fold_3,0.17928298662184683,0.18339309938232762,0.191141371768421,0.9594631328926484,0.1982755016820466,-0.18755238717833636,0.9778233278787658,0.0,0.0,0.0,3.0,,
strategy_fold_4,-0.3575454286140288,-0.7899402487732065,0.47685358259619065,-1.6565677130335077,-1.4999177272317379,-0.43660903429045644,-1.809262261503491,0.31683168316831684,24.742574257425744,0.04066022544283414,4.0,-0.46229631192318665,-0.9177304713932376
btc_fold_4,-0.1064604473581382,-0.3276439368500198,0.5197496409284,-0.6303880003933577,-0.7995390647031956,-0.35589760225970374,-0.9206129368945093,0.0,0.0,0.0,4.0,,
sp500_fold_4,0.03468928041714037,0.12779022262003115,0.14053315917862585,0.9093243428591988,0.2826592936636616,-0.0888497257933099,1.438273686035994,0.0,0.0,0.0,4.0,,
strategy_mean,-0.3906888971929212,-0.5003897100544483,0.43405021306365366,-1.1158027027367927,-0.9395271793942224,-0.5187181626006838,-0.9778932550088133,0.3675786342255491,26.761317116719372,0.03579272859706377,2.5,-1.0899257170157859,-0.7057177011422279
strategy_std,0.18217242681356396,0.26543869370985546,0.05166588949541999,0.5302145050803582,0.5516903527969297,0.11321059039972133,0.6081608204941531,0.034533915440399895,3.86960601530051,0.00550631411973358,1.2909944487358056,0.7266938821936102,0.22180336339032652
